gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
23.0,3888.0,36648.0,12.0,49,,
23.0,3888.0,36648.0,12.0,49,,
43.0,3888.0,36648.0,22.0,99,,
9.0,3888.0,36648.0,5.0,99,,
46.0,3888.0,36648.0,23.0,149,,
20.0,3888.0,36648.0,11.0,149,,
46.0,3888.0,36648.0,23.0,199,,
10.0,3888.0,36648.0,5.0,199,,
26.0,3896.0,36640.0,13.0,249,,
26.0,3896.0,36640.0,13.0,249,,
45.0,3896.0,36640.0,23.0,299,,
13.0,3896.0,36640.0,7.0,299,,
,,,,299,0.3903963267803192,0
