gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
70.0,14666.0,25870.0,40.0,49,,
29.0,14666.0,25870.0,18.0,49,,
74.0,14674.0,25862.0,43.0,99,,
37.0,14674.0,25862.0,22.0,99,,
43.0,14682.0,25854.0,25.0,149,,
64.0,14682.0,25854.0,33.0,149,,
30.0,14690.0,25846.0,18.0,199,,
70.0,14690.0,25846.0,38.0,199,,
55.0,14690.0,25846.0,31.0,249,,
52.0,14690.0,25846.0,27.0,249,,
76.0,14698.0,25838.0,41.0,299,,
56.0,14698.0,25838.0,31.0,299,,
,,,,299,0.3229050636291504,0
