gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
31.0,3224.0,37312.0,11.0,49,,
13.0,3224.0,37312.0,4.0,49,,
31.0,3224.0,37312.0,11.0,99,,
13.0,3224.0,37312.0,4.0,99,,
31.0,3224.0,37312.0,11.0,149,,
13.0,3224.0,37312.0,4.0,149,,
31.0,3224.0,37312.0,11.0,199,,
13.0,3224.0,37312.0,4.0,199,,
30.0,3232.0,37304.0,10.0,249,,
13.0,3232.0,37304.0,4.0,249,,
31.0,3232.0,37304.0,11.0,299,,
12.0,3232.0,37304.0,4.0,299,,
,,,,299,0.673200249671936,0
