gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
24.0,3306.0,37230.0,8.0,49,,
24.0,3306.0,37230.0,8.0,49,,
38.0,3306.0,37230.0,13.0,99,,
8.0,3306.0,37230.0,3.0,99,,
38.0,3306.0,37230.0,13.0,149,,
17.0,3306.0,37230.0,6.0,149,,
30.0,3306.0,37230.0,11.0,199,,
8.0,3306.0,37230.0,3.0,199,,
39.0,3314.0,37222.0,13.0,249,,
14.0,3314.0,37222.0,5.0,249,,
19.0,3314.0,37222.0,7.0,299,,
19.0,3314.0,37222.0,7.0,299,,
,,,,299,0.472920298576355,0
