gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
51.0,6488.0,34048.0,33.0,49,,
51.0,6488.0,34048.0,33.0,49,,
53.0,6488.0,34048.0,35.0,99,,
26.0,6488.0,34048.0,17.0,99,,
62.0,6488.0,34048.0,40.0,149,,
26.0,6488.0,34048.0,17.0,149,,
75.0,6488.0,34048.0,49.0,199,,
26.0,6488.0,34048.0,17.0,199,,
88.0,6496.0,34040.0,57.0,249,,
27.0,6496.0,34040.0,18.0,249,,
89.0,6496.0,34040.0,57.0,299,,
36.0,6496.0,34040.0,23.0,299,,
,,,,299,0.33509039878845215,0
