gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
40.0,14816.0,1339.0,32.0,49,,
12.0,14816.0,1339.0,12.0,49,,
61.0,14824.0,1331.0,46.0,99,,
32.0,14824.0,1331.0,27.0,99,,
16.0,14832.0,1323.0,15.0,149,,
8.0,14832.0,1323.0,9.0,149,,
67.0,14840.0,1315.0,50.0,199,,
39.0,14840.0,1315.0,31.0,199,,
14.0,14840.0,1315.0,14.0,249,,
8.0,14840.0,1315.0,9.0,249,,
65.0,14848.0,1307.0,48.0,299,,
36.0,14848.0,1307.0,29.0,299,,
,,,,299,0.28588661551475525,0
