gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
51.0,10212.0,30324.0,36.0,49,,
47.0,10212.0,30324.0,33.0,49,,
93.0,10212.0,30324.0,65.0,99,,
41.0,10212.0,30324.0,28.0,99,,
82.0,10212.0,30324.0,57.0,149,,
47.0,10212.0,30324.0,33.0,149,,
51.0,10212.0,30324.0,36.0,199,,
47.0,10212.0,30324.0,33.0,199,,
92.0,10220.0,30316.0,65.0,249,,
37.0,10220.0,30316.0,26.0,249,,
93.0,10220.0,30316.0,65.0,299,,
37.0,10220.0,30316.0,26.0,299,,
,,,,299,0.3204244077205658,0
