gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
63.0,24320.0,16216.0,49.0,49,,
50.0,24320.0,16216.0,38.0,49,,
66.0,24320.0,16216.0,51.0,99,,
49.0,24320.0,16216.0,38.0,99,,
78.0,24328.0,16208.0,60.0,149,,
63.0,24328.0,16208.0,49.0,149,,
92.0,24328.0,16208.0,70.0,199,,
78.0,24328.0,16208.0,60.0,199,,
100.0,24328.0,16208.0,76.0,249,,
94.0,24328.0,16208.0,72.0,249,,
94.0,24336.0,16200.0,71.0,299,,
100.0,24336.0,16200.0,76.0,299,,
,,,,299,0.2758854925632477,0
