gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
27.0,3868.0,12287.0,19.0,49,,
19.0,3868.0,12287.0,13.0,49,,
16.0,3868.0,12287.0,11.0,99,,
19.0,3868.0,12287.0,13.0,99,,
11.0,3868.0,12287.0,8.0,149,,
19.0,3868.0,12287.0,13.0,149,,
39.0,3868.0,12287.0,27.0,199,,
17.0,3868.0,12287.0,12.0,199,,
39.0,3876.0,12279.0,27.0,249,,
16.0,3876.0,12279.0,11.0,249,,
38.0,3876.0,12279.0,26.0,299,,
13.0,3876.0,12279.0,9.0,299,,
,,,,299,0.427313894033432,0
