gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
16.0,9344.0,6811.0,15.0,49,,
7.0,9344.0,6811.0,8.0,49,,
19.0,9352.0,6803.0,17.0,99,,
8.0,9352.0,6803.0,9.0,99,,
9.0,9360.0,6795.0,10.0,149,,
32.0,9360.0,6795.0,24.0,149,,
28.0,9360.0,6795.0,21.0,199,,
14.0,9360.0,6795.0,14.0,199,,
10.0,9368.0,6787.0,10.0,249,,
32.0,9368.0,6787.0,23.0,249,,
16.0,9376.0,6779.0,15.0,299,,
9.0,9376.0,6779.0,9.0,299,,
,,,,299,0.6049570441246033,0
