gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
52.0,12308.0,28228.0,30.0,49,,
29.0,12308.0,28228.0,17.0,49,,
56.0,12316.0,28220.0,30.0,99,,
34.0,12316.0,28220.0,19.0,99,,
46.0,12324.0,28212.0,24.0,149,,
32.0,12324.0,28212.0,15.0,149,,
45.0,12332.0,28204.0,24.0,199,,
30.0,12332.0,28204.0,14.0,199,,
52.0,12332.0,28204.0,29.0,249,,
31.0,12332.0,28204.0,18.0,249,,
39.0,12342.0,28194.0,21.0,299,,
41.0,12342.0,28194.0,19.0,299,,
,,,,299,0.35342827439308167,0
