gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
47.0,6486.0,9669.0,36.0,49,,
50.0,6486.0,9669.0,38.0,49,,
88.0,6486.0,9669.0,67.0,99,,
52.0,6486.0,9669.0,40.0,99,,
64.0,6486.0,9669.0,50.0,149,,
17.0,6486.0,9669.0,14.0,149,,
88.0,6486.0,9669.0,67.0,199,,
45.0,6486.0,9669.0,34.0,199,,
54.0,6494.0,9661.0,42.0,249,,
47.0,6494.0,9661.0,35.0,249,,
40.0,6494.0,9661.0,31.0,299,,
52.0,6494.0,9661.0,40.0,299,,
,,,,299,0.34762781858444214,0
