gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
44.0,6528.0,9627.0,31.0,49,,
23.0,6528.0,9627.0,17.0,49,,
17.0,6528.0,9627.0,13.0,99,,
49.0,6528.0,9627.0,33.0,99,,
28.0,6536.0,9619.0,20.0,149,,
10.0,6536.0,9619.0,8.0,149,,
15.0,6536.0,9619.0,11.0,199,,
49.0,6536.0,9619.0,33.0,199,,
28.0,6536.0,9619.0,20.0,249,,
11.0,6536.0,9619.0,9.0,249,,
14.0,6544.0,9611.0,11.0,299,,
49.0,6544.0,9611.0,33.0,299,,
,,,,299,0.3675677180290222,0
