gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
38.0,14248.0,26288.0,26.0,49,,
77.0,14248.0,26288.0,53.0,49,,
,,,,96,0.45579731464385986,0
95.0,14248.0,26288.0,65.0,99,,
77.0,14248.0,26288.0,53.0,99,,
66.0,14248.0,26288.0,46.0,149,,
63.0,14248.0,26288.0,43.0,149,,
,,,,193,0.29771125316619873,1
64.0,14248.0,26288.0,44.0,199,,
68.0,14248.0,26288.0,47.0,199,,
93.0,14256.0,26280.0,63.0,249,,
46.0,14256.0,26280.0,31.0,249,,
,,,,290,0.2617402672767639,2
71.0,14256.0,26280.0,49.0,299,,
51.0,14256.0,26280.0,35.0,299,,
,,,,299,0.23800696432590485,3
