gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
42.0,9428.0,31108.0,17.0,49,,
24.0,9428.0,31108.0,12.0,49,,
35.0,9436.0,31100.0,18.0,99,,
19.0,9436.0,31100.0,6.0,99,,
35.0,9444.0,31092.0,18.0,149,,
20.0,9444.0,31092.0,6.0,149,,
40.0,9452.0,31084.0,17.0,199,,
21.0,9452.0,31084.0,11.0,199,,
19.0,9452.0,31084.0,10.0,249,,
30.0,9452.0,31084.0,13.0,249,,
36.0,9460.0,31076.0,18.0,299,,
17.0,9460.0,31076.0,5.0,299,,
,,,,299,0.37355178594589233,0
