gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
68.0,9044.0,7111.0,49.0,49,,
53.0,9044.0,7111.0,38.0,49,,
72.0,9044.0,7111.0,53.0,99,,
59.0,9044.0,7111.0,43.0,99,,
90.0,9052.0,7103.0,66.0,149,,
83.0,9052.0,7103.0,60.0,149,,
24.0,9052.0,7103.0,18.0,199,,
13.0,9052.0,7103.0,11.0,199,,
87.0,9052.0,7103.0,62.0,249,,
77.0,9052.0,7103.0,56.0,249,,
10.0,9060.0,7095.0,8.0,299,,
87.0,9060.0,7095.0,62.0,299,,
,,,,299,0.3502979874610901,0
