gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
83.0,21906.0,18630.0,53.0,49,,
85.0,21906.0,18630.0,54.0,49,,
24.0,21914.0,18622.0,17.0,99,,
31.0,21914.0,18622.0,21.0,99,,
90.0,21922.0,18614.0,56.0,149,,
92.0,21922.0,18614.0,57.0,149,,
79.0,21930.0,18606.0,50.0,199,,
81.0,21930.0,18606.0,52.0,199,,
69.0,21930.0,18606.0,44.0,249,,
72.0,21930.0,18606.0,46.0,249,,
66.0,21938.0,18598.0,42.0,299,,
69.0,21938.0,18598.0,44.0,299,,
,,,,299,0.3189043402671814,0
