gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
52.0,10654.0,29882.0,34.0,49,,
51.0,10654.0,29882.0,33.0,49,,
87.0,10654.0,29882.0,56.0,99,,
39.0,10654.0,29882.0,25.0,99,,
43.0,10662.0,29874.0,28.0,149,,
51.0,10662.0,29874.0,33.0,149,,
60.0,10662.0,29874.0,39.0,199,,
50.0,10662.0,29874.0,33.0,199,,
84.0,10670.0,29866.0,54.0,249,,
36.0,10670.0,29866.0,23.0,249,,
93.0,10670.0,29866.0,60.0,299,,
28.0,10670.0,29866.0,18.0,299,,
,,,,299,0.3047226667404175,0
