gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
80.0,21348.0,19188.0,54.0,49,,
51.0,21348.0,19188.0,35.0,49,,
77.0,21356.0,19180.0,52.0,99,,
48.0,21356.0,19180.0,33.0,99,,
91.0,21364.0,19172.0,60.0,149,,
64.0,21364.0,19172.0,43.0,149,,
86.0,21372.0,19164.0,57.0,199,,
86.0,21372.0,19164.0,57.0,199,,
43.0,21372.0,19164.0,30.0,249,,
78.0,21372.0,19164.0,51.0,249,,
58.0,21380.0,19156.0,40.0,299,,
31.0,21380.0,19156.0,21.0,299,,
,,,,299,0.41030848026275635,0
