gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
43.0,26126.0,14410.0,30.0,49,,
54.0,26126.0,14410.0,38.0,49,,
38.0,26134.0,14402.0,27.0,99,,
50.0,26134.0,14402.0,35.0,99,,
44.0,26142.0,14394.0,31.0,149,,
56.0,26142.0,14394.0,39.0,149,,
64.0,26150.0,14386.0,44.0,199,,
76.0,26150.0,14386.0,52.0,199,,
75.0,26150.0,14386.0,51.0,249,,
87.0,26150.0,14386.0,59.0,249,,
87.0,26158.0,14378.0,60.0,299,,
96.0,26158.0,14378.0,64.0,299,,
,,,,299,0.2223123461008072,0
