gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch,test_loss
26.0,3283.0,12872.0,15.0,49,,,
9.0,3283.0,12872.0,6.0,49,,,
22.0,3277.0,12878.0,13.0,99,,,
10.0,3277.0,12878.0,4.0,99,,,
24.0,3277.0,12878.0,14.0,149,,,
8.0,3277.0,12878.0,6.0,149,,,
13.0,3277.0,12878.0,7.0,199,,,
13.0,3277.0,12878.0,7.0,199,,,
16.0,3285.0,12870.0,10.0,249,,,
4.0,3285.0,12870.0,4.0,249,,,
17.0,3285.0,12870.0,11.0,299,,,
5.0,3285.0,12870.0,4.0,299,,,
,,,,299,0.46067601442337036,0,
,,,,300,,0,0.32596486806869507
