gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
37.0,9408.0,6747.0,26.0,49,,
20.0,9408.0,6747.0,17.0,49,,
25.0,9416.0,6739.0,20.0,99,,
10.0,9416.0,6739.0,10.0,99,,
9.0,9424.0,6731.0,10.0,149,,
33.0,9424.0,6731.0,24.0,149,,
9.0,9432.0,6723.0,10.0,199,,
33.0,9432.0,6723.0,24.0,199,,
36.0,9432.0,6723.0,26.0,249,,
19.0,9432.0,6723.0,17.0,249,,
33.0,9440.0,6715.0,24.0,299,,
15.0,9440.0,6715.0,15.0,299,,
,,,,299,0.41963881254196167,0
