gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
42.0,14558.0,1597.0,32.0,49,,
92.0,14558.0,1597.0,67.0,49,,
92.0,14558.0,1597.0,67.0,99,,
58.0,14558.0,1597.0,43.0,99,,
63.0,14566.0,1589.0,47.0,149,,
23.0,14566.0,1589.0,18.0,149,,
,,,,194,0.3550967276096344,0
73.0,14566.0,1589.0,54.0,199,,
41.0,14566.0,1589.0,31.0,199,,
28.0,14566.0,1589.0,22.0,249,,
92.0,14566.0,1589.0,67.0,249,,
46.0,14574.0,1581.0,35.0,299,,
13.0,14574.0,1581.0,11.0,299,,
,,,,299,0.23791839182376862,1
