gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch,test_loss
48.0,4365.0,11790.0,34.0,49,,,
23.0,4365.0,11790.0,16.0,49,,,
24.0,4365.0,11790.0,17.0,99,,,
27.0,4365.0,11790.0,19.0,99,,,
29.0,4365.0,11790.0,21.0,149,,,
27.0,4365.0,11790.0,19.0,149,,,
29.0,4365.0,11790.0,22.0,199,,,
27.0,4365.0,11790.0,19.0,199,,,
53.0,4373.0,11782.0,37.0,249,,,
18.0,4373.0,11782.0,12.0,249,,,
46.0,4373.0,11782.0,33.0,299,,,
12.0,4373.0,11782.0,9.0,299,,,
,,,,299,0.3971581757068634,0,
,,,,300,,0,0.2945605218410492
