gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
10.0,12288.0,3867.0,10.0,49,,
52.0,12288.0,3867.0,40.0,49,,
10.0,12296.0,3859.0,10.0,99,,
53.0,12296.0,3859.0,40.0,99,,
50.0,12304.0,3851.0,38.0,149,,
22.0,12304.0,3851.0,19.0,149,,
8.0,12312.0,3843.0,9.0,199,,
32.0,12312.0,3843.0,25.0,199,,
8.0,12312.0,3843.0,9.0,249,,
43.0,12312.0,3843.0,34.0,249,,
50.0,12322.0,3833.0,38.0,299,,
25.0,12322.0,3833.0,21.0,299,,
,,,,299,0.3443935513496399,0
