gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
36.0,9358.0,31178.0,20.0,49,,
14.0,9358.0,31178.0,5.0,49,,
38.0,9366.0,31170.0,17.0,99,,
28.0,9366.0,31170.0,13.0,99,,
39.0,9374.0,31162.0,17.0,149,,
23.0,9374.0,31162.0,12.0,149,,
40.0,9374.0,31162.0,18.0,199,,
21.0,9374.0,31162.0,11.0,199,,
38.0,9382.0,31154.0,17.0,249,,
25.0,9382.0,31154.0,13.0,249,,
20.0,9390.0,31146.0,11.0,299,,
27.0,9390.0,31146.0,13.0,299,,
,,,,299,0.7280188202857971,0
