gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
87.0,8838.0,31698.0,54.0,49,,
37.0,8838.0,31698.0,23.0,49,,
82.0,8838.0,31698.0,52.0,99,,
35.0,8838.0,31698.0,22.0,99,,
70.0,8846.0,31690.0,44.0,149,,
35.0,8846.0,31690.0,22.0,149,,
62.0,8846.0,31690.0,39.0,199,,
35.0,8846.0,31690.0,22.0,199,,
62.0,8846.0,31690.0,39.0,249,,
35.0,8846.0,31690.0,22.0,249,,
61.0,8854.0,31682.0,39.0,299,,
35.0,8854.0,31682.0,22.0,299,,
,,,,299,0.3923810124397278,0
