gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch,test_loss
58.0,4460.0,7603.0,55.0,49,,,
27.0,4460.0,7603.0,23.0,49,,,
66.0,4460.0,7603.0,60.0,99,,,
30.0,4460.0,7603.0,26.0,99,,,
89.0,4460.0,7603.0,75.0,149,,,
37.0,4460.0,7603.0,32.0,149,,,
34.0,4460.0,7603.0,29.0,199,,,
34.0,4460.0,7603.0,29.0,199,,,
62.0,4468.0,7595.0,57.0,249,,,
41.0,4468.0,7595.0,26.0,249,,,
91.0,4442.0,7621.0,78.0,299,,,
32.0,4442.0,7621.0,28.0,299,,,
33.0,4442.0,7621.0,29.0,349,,,
33.0,4442.0,7621.0,29.0,349,,,
61.0,4442.0,7621.0,56.0,399,,,
29.0,4442.0,7621.0,25.0,399,,,
89.0,4442.0,7621.0,77.0,449,,,
34.0,4442.0,7621.0,29.0,449,,,
40.0,4450.0,7613.0,34.0,499,,,
33.0,4450.0,7613.0,27.0,499,,,
,,,,499,0.3623412549495697,0,
,,,,500,,0,0.278598815202713
