gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
20.0,35982.0,4554.0,14.0,49,,
29.0,35982.0,4554.0,21.0,49,,
92.0,35990.0,4546.0,61.0,99,,
95.0,35990.0,4546.0,63.0,99,,
80.0,35998.0,4538.0,55.0,149,,
84.0,35998.0,4538.0,57.0,149,,
,,,,194,0.28821420669555664,0
91.0,36006.0,4530.0,60.0,199,,
91.0,36006.0,4530.0,60.0,199,,
86.0,36006.0,4530.0,58.0,249,,
87.0,36006.0,4530.0,59.0,249,,
79.0,36014.0,4522.0,53.0,299,,
83.0,36014.0,4522.0,56.0,299,,
,,,,299,0.17710760235786438,1
