gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
85.0,5696.0,34840.0,51.0,49,,
36.0,5696.0,34840.0,21.0,49,,
71.0,5696.0,34840.0,43.0,99,,
23.0,5696.0,34840.0,14.0,99,,
43.0,5696.0,34840.0,26.0,149,,
43.0,5696.0,34840.0,26.0,149,,
85.0,5696.0,34840.0,51.0,199,,
36.0,5696.0,34840.0,21.0,199,,
78.0,5704.0,34832.0,47.0,249,,
23.0,5704.0,34832.0,14.0,249,,
57.0,5704.0,34832.0,35.0,299,,
23.0,5704.0,34832.0,14.0,299,,
,,,,299,0.3875880539417267,0
