gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
11.0,3204.0,12951.0,7.0,49,,
7.0,3204.0,12951.0,3.0,49,,
11.0,3204.0,12951.0,8.0,99,,
7.0,3204.0,12951.0,3.0,99,,
13.0,3204.0,12951.0,9.0,149,,
5.0,3204.0,12951.0,4.0,149,,
14.0,3204.0,12951.0,9.0,199,,
5.0,3204.0,12951.0,4.0,199,,
12.0,3212.0,12943.0,8.0,249,,
4.0,3212.0,12943.0,4.0,249,,
4.0,3212.0,12943.0,4.0,299,,
9.0,3212.0,12943.0,5.0,299,,
,,,,299,0.6708354353904724,0
