gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
84.0,17720.0,22816.0,59.0,49,,
47.0,17720.0,22816.0,33.0,49,,
76.0,17720.0,22816.0,53.0,99,,
40.0,17720.0,22816.0,28.0,99,,
93.0,17728.0,22808.0,65.0,149,,
60.0,17728.0,22808.0,42.0,149,,
93.0,17728.0,22808.0,65.0,199,,
79.0,17728.0,22808.0,55.0,199,,
33.0,17728.0,22808.0,23.0,249,,
87.0,17728.0,22808.0,61.0,249,,
61.0,17736.0,22800.0,42.0,299,,
67.0,17736.0,22800.0,47.0,299,,
,,,,299,0.27973902225494385,0
