gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
8.0,3256.0,12899.0,6.0,49,,
11.0,3256.0,12899.0,7.0,49,,
6.0,3256.0,12899.0,5.0,99,,
11.0,3256.0,12899.0,7.0,99,,
24.0,3256.0,12899.0,15.0,149,,
11.0,3256.0,12899.0,7.0,149,,
18.0,3256.0,12899.0,12.0,199,,
9.0,3256.0,12899.0,5.0,199,,
8.0,3264.0,12891.0,6.0,249,,
11.0,3264.0,12891.0,7.0,249,,
7.0,3264.0,12891.0,5.0,299,,
11.0,3264.0,12891.0,7.0,299,,
,,,,299,0.6406348347663879,0
