gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch,test_loss
55.0,3375.0,8688.0,43.0,49,,,
22.0,3375.0,8688.0,18.0,49,,,
39.0,3372.0,8691.0,30.0,99,,,
13.0,3372.0,8691.0,10.0,99,,,
55.0,3372.0,8691.0,42.0,149,,,
16.0,3372.0,8691.0,13.0,149,,,
37.0,3373.0,8690.0,29.0,199,,,
13.0,3373.0,8690.0,10.0,199,,,
54.0,3381.0,8682.0,42.0,249,,,
21.0,3381.0,8682.0,15.0,249,,,
43.0,3380.0,8683.0,34.0,299,,,
13.0,3380.0,8683.0,10.0,299,,,
39.0,3380.0,8683.0,31.0,349,,,
14.0,3380.0,8683.0,10.0,349,,,
56.0,3381.0,8682.0,42.0,399,,,
20.0,3381.0,8682.0,17.0,399,,,
55.0,3381.0,8682.0,42.0,449,,,
13.0,3381.0,8682.0,10.0,449,,,
30.0,3388.0,8675.0,24.0,499,,,
14.0,3388.0,8675.0,10.0,499,,,
,,,,499,0.4167466461658478,0,
,,,,500,,0,0.3234923183917999
