gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
11.0,5476.0,10679.0,9.0,49,,
35.0,5476.0,10679.0,24.0,49,,
41.0,5476.0,10679.0,28.0,99,,
32.0,5476.0,10679.0,22.0,99,,
41.0,5484.0,10671.0,27.0,149,,
35.0,5484.0,10671.0,24.0,149,,
38.0,5484.0,10671.0,27.0,199,,
25.0,5484.0,10671.0,17.0,199,,
10.0,5484.0,10671.0,8.0,249,,
33.0,5484.0,10671.0,21.0,249,,
38.0,5492.0,10663.0,26.0,299,,
22.0,5492.0,10663.0,15.0,299,,
,,,,299,0.3873544931411743,0
