gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
44.0,8818.0,7337.0,36.0,49,,
17.0,8818.0,7337.0,14.0,49,,
9.0,8818.0,7337.0,8.0,99,,
68.0,8818.0,7337.0,54.0,99,,
71.0,8826.0,7329.0,57.0,149,,
51.0,8826.0,7329.0,41.0,149,,
62.0,8826.0,7329.0,50.0,199,,
40.0,8826.0,7329.0,33.0,199,,
41.0,8826.0,7329.0,33.0,249,,
18.0,8826.0,7329.0,15.0,249,,
42.0,8834.0,7321.0,34.0,299,,
10.0,8834.0,7321.0,9.0,299,,
,,,,299,0.3620532751083374,0
