gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
100.0,32108.0,8428.0,74.0,49,,
58.0,32108.0,8428.0,43.0,49,,
,,,,96,0.3969721794128418,0
37.0,32108.0,8428.0,27.0,99,,
84.0,32108.0,8428.0,63.0,99,,
43.0,32108.0,8428.0,32.0,149,,
84.0,32108.0,8428.0,63.0,149,,
,,,,193,0.22859595715999603,1
73.0,32108.0,8428.0,54.0,199,,
100.0,32108.0,8428.0,74.0,199,,
88.0,32116.0,8420.0,65.0,249,,
100.0,32116.0,8420.0,74.0,249,,
,,,,290,0.19898441433906555,2
65.0,32116.0,8420.0,48.0,299,,
100.0,32116.0,8420.0,74.0,299,,
,,,,299,0.16695421934127808,3
