gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
60.0,14578.0,25958.0,39.0,49,,
74.0,14578.0,25958.0,49.0,49,,
70.0,14578.0,25958.0,46.0,99,,
61.0,14578.0,25958.0,40.0,99,,
74.0,14586.0,25950.0,49.0,149,,
58.0,14586.0,25950.0,38.0,149,,
,,,,194,0.364576131105423,0
37.0,14586.0,25950.0,24.0,199,,
79.0,14586.0,25950.0,52.0,199,,
61.0,14586.0,25950.0,40.0,249,,
67.0,14586.0,25950.0,44.0,249,,
77.0,14594.0,25942.0,51.0,299,,
51.0,14594.0,25942.0,33.0,299,,
,,,,299,0.23348107933998108,1
