gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
97.0,25022.0,15514.0,76.0,49,,
71.0,25022.0,15514.0,56.0,49,,
91.0,25022.0,15514.0,71.0,99,,
63.0,25022.0,15514.0,51.0,99,,
87.0,25022.0,15514.0,69.0,149,,
62.0,25022.0,15514.0,50.0,149,,
83.0,25022.0,15514.0,66.0,199,,
59.0,25022.0,15514.0,46.0,199,,
86.0,25030.0,15506.0,68.0,249,,
63.0,25030.0,15506.0,51.0,249,,
90.0,25030.0,15506.0,71.0,299,,
68.0,25030.0,15506.0,54.0,299,,
,,,,299,0.2840253412723541,0
