gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
66.0,13486.0,2669.0,57.0,49,,
72.0,13486.0,2669.0,61.0,49,,
85.0,13486.0,2669.0,73.0,99,,
90.0,13486.0,2669.0,76.0,99,,
23.0,13486.0,2669.0,20.0,149,,
31.0,13486.0,2669.0,26.0,149,,
20.0,13486.0,2669.0,18.0,199,,
27.0,13486.0,2669.0,23.0,199,,
38.0,13494.0,2661.0,32.0,249,,
48.0,13494.0,2661.0,41.0,249,,
79.0,13494.0,2661.0,67.0,299,,
89.0,13494.0,2661.0,75.0,299,,
,,,,299,0.3054008185863495,0
