gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
30.0,4486.0,36050.0,16.0,49,,
30.0,4486.0,36050.0,16.0,49,,
28.0,4486.0,36050.0,15.0,99,,
28.0,4486.0,36050.0,15.0,99,,
35.0,4486.0,36050.0,18.0,149,,
35.0,4486.0,36050.0,18.0,149,,
34.0,4486.0,36050.0,18.0,199,,
14.0,4486.0,36050.0,7.0,199,,
43.0,4494.0,36042.0,22.0,249,,
14.0,4494.0,36042.0,7.0,249,,
27.0,4494.0,36042.0,14.0,299,,
27.0,4494.0,36042.0,14.0,299,,
,,,,299,0.3865222632884979,0
