gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch
88.0,8638.0,7517.0,66.0,49,,
65.0,8638.0,7517.0,48.0,49,,
67.0,8638.0,7517.0,50.0,99,,
38.0,8638.0,7517.0,28.0,99,,
56.0,8638.0,7517.0,42.0,149,,
29.0,8638.0,7517.0,22.0,149,,
,,,,194,0.4107740819454193,0
85.0,8638.0,7517.0,63.0,199,,
62.0,8638.0,7517.0,45.0,199,,
89.0,8640.0,7515.0,66.0,249,,
84.0,8640.0,7515.0,62.0,249,,
52.0,8640.0,7515.0,38.0,299,,
29.0,8640.0,7515.0,22.0,299,,
,,,,299,0.2888339161872864,1
