gpu_id: 0/utilization.gpu (%),gpu_id: 0/memory.used (MB),gpu_id: 0/memory.free (MB),gpu_id: 0/utilization.memory (%),step,train_loss,epoch,test_loss
66.0,5731.0,10424.0,53.0,49,,,
27.0,5731.0,10424.0,22.0,49,,,
7.0,5731.0,10424.0,6.0,99,,,
36.0,5731.0,10424.0,28.0,99,,,
34.0,5731.0,10424.0,27.0,149,,,
36.0,5731.0,10424.0,28.0,149,,,
54.0,5731.0,10424.0,44.0,199,,,
21.0,5731.0,10424.0,18.0,199,,,
16.0,5739.0,10416.0,14.0,249,,,
36.0,5739.0,10416.0,28.0,249,,,
38.0,5739.0,10416.0,31.0,299,,,
2.0,5739.0,10416.0,2.0,299,,,
,,,,299,0.39913856983184814,0,
,,,,300,,0,0.2103467583656311
